Item,WordA,WordB,OverallFreq,RelFreq,Sentence (WordA and WordB),Sentence (WordB and WordA)
185,hillbilly,jazz,59,0,Ears used to hillbilly and jazz will not be surprised by the new albumn from the studio.,Ears used to jazz and hillbilly will not be surprised by the new albumn from the studio.
186,holland,japan,922,0.5921908894,His mentioning of holland and japan opened up a discussion among the guests.,His mentioning of japan and holland opened up a discussion among the guests.
187,honeysuckle,rosebush,0,,A tangle of honeysuckle and rosebush could be seen from the window.,A tangle of rosebush and honeysuckle could be seen from the window.
188,hope,smiles,245,0.6081632653,The little girl raised with hope and smiles had not the slightest idea of suffering.,The little girl raised with smiles and hope had not the slightest idea of suffering.
189,huggings,kissings,187,0.7967914439,There have been a lot of huggings and kissings since the reunion started.,There have been a lot of kissings and huggings since the reunion started.
190,humor,proportion,519,0.7052023121,They lost their sense of humor and proportion as they grew more and more defensive.,They lost their sense of proportion and humor as they grew more and more defensive.
191,immersion,involvement,155,0.3935483871,The country's immersion and involvement in world affairs has increased over the years.,The country's involvement and immersion in world affairs has increased over the years.
192,incredulity,shock,736,0.2364130435,Everyone was left in incredulity and shock by the speaker's speech.,Everyone was left in shock and incredulity by the speaker's speech.
193,inertia,petulance,0,,Having broken out of a long period of inertia and petulance Charles regained his old self.,Having broken out of a long period of petulance and inertia Charles regained his old self.
194,ingratitude,injury,28,1,"If the child isn't taught how to deal with other people, ingratitude and injury are likely to occur.","If the child isn't taught how to deal with other people, injury and ingratitude are likely to occur."
195,instinct,judgement,91,0.5054945055,An ignorant person's instinct and judgement can never be trusted.,An ignorant person's judgement and instinct can never be trusted.
196,intelligence,mentality,156,0.5064102564,Despite his contempt for the police's intelligence and mentality the detective is perfectly willing to cooperate with them.,Despite his contempt for the police's mentality and intelligence the detective is perfectly willing to cooperate with them.
197,intensities,rhythms,129,0,The sequence of intensities and rhythms can be determined by a mathematical system established by the composer.,The sequence of rhythms and intensities can be determined by a mathematical system established by the composer.
198,interconnectedness,quality,0,,Leading a life of interconnectedness and quality is Helen's ultimate goal.,Leading a life of quality and interconnectedness is Helen's ultimate goal.
199,ivory,sandalwood,390,0.6461538462,The antique French chess set in ivory and sandalwood was passed down to me from my grandfather.,The antique French chess set in sandalwood and ivory was passed down to me from my grandfather.
200,jazz,marijuana,47,1,"In college, jazz and marijuana were Martin's best friends.","In college, marijuana and jazz were Martin's best friends."
201,jubilation,regret,0,,The engineer of the dam looks back with mingled jubilation and regret now that the project is complete.,The engineer of the dam looks back with mingled regret and jubilation now that the project is complete.
202,juice,spirit,56,1,"The boy, full of juice and spirit, got down to painting the fence right away.","The boy, full of spirit and juice, got down to painting the fence right away."
203,ketches,yachts,0,,All the ketches and yachts belonged to the royalties.,All the yachts and ketches belonged to the royalties.
204,kind,scale,923,0.6684723727,"In order to begin, John must on the kind and scale of farming he wants to undertake.","In order to begin, John must on the scale and kind of farming he wants to undertake."
205,lights,motor,779,0.568677792,I turned off my lights and motor because nobody was going anywhere in this traffic jam.,I turned off my motor and lights because nobody was going anywhere in this traffic jam.
206,linguist,therapist,0,,It should be clear to every linguist and therapist that the word not used can be as important as the word that is used.,It should be clear to every therapist and linguist that the word not used can be as important as the word that is used.
207,linguistics,psychiatry,0,,Dr. Chang was trained in both linguistics and psychiatry before launching his successful career.,Dr. Chang was trained in both psychiatry and linguistics before launching his successful career.
208,linguists,psychotherapists,0,,Teams of linguists and psychotherapists attended the conference to present their work.,Teams of psychotherapists and linguists attended the conference to present their work.
209,lint,thread,136,0.3823529412,Particles of lint and thread were found in the patient's mouth.,Particles of thread and lint were found in the patient's mouth.
210,liquor,luxury,43,1,She had indulged herself in liquor and luxury too much before re-examining her way of life.,She had indulged herself in luxury and liquor too much before re-examining her way of life.
211,madman,tyrant,26,1,From being a madman and tyrant he was now the best-known figure in the history of Sweden.,From being a tyrant and madman he was now the best-known figure in the history of Sweden.
212,maintenance,travel,815,0.1926380368,Having served for a number of years without pay beyond her maintenance and travel she finally left for a better job.,Having served for a number of years without pay beyond her travel and maintenance she finally left for a better job.
213,maps,registers,159,0.641509434,From the maps and registers the expert has identified six potential excavation sites.,From the registers and maps the expert has identified six potential excavation sites.
214,marquees,signs,276,0.5543478261,Anna was surprised to see the marquees and signs lit up for the first time since blackout regulations had been instituted.,Anna was surprised to see the signs and marquees lit up for the first time since blackout regulations had been instituted.
215,meaningfulness,relevance,461,0.4403470716,The comments are sorted by their meaningfulness and relevance in order to be used for market research.,The comments are sorted by their relevance and meaningfulness in order to be used for market research.
216,mechanics,technique,516,0.5484496124,My ballet teacher gave us an overview of the mechanics and technique during the first class.,My ballet teacher gave us an overview of the technique and mechanics during the first class.
217,medicines,yeast,0,,A delivery of medicines and yeast arrived by plane this morning.,A delivery of yeast and medicines arrived by plane this morning.
218,miners,teamsters,225,0.64,All the miners and teamsters gathered at the company to demand better working conditions.,All the teamsters and miners gathered at the company to demand better working conditions.
219,misunderstanding,persecution,500,0.664,Advocates of this unusual way of life face misunderstanding and persecution constantly wherever they go.,Advocates of this unusual way of life face persecution and misunderstanding constantly wherever they go.
220,modernizing,redecorating,0,,The old house in need of modernizing and redecorating was sold for a low price.,The old house in need of redecorating and modernizing was sold for a low price.
221,nagging,stress,0,,I don't want to hear any more of her nagging and stress because they make me feel worse than I already do.,I don't want to hear any more of her stress and nagging because they make me feel worse than I already do.
222,names,specialties,282,1,Be sure to familiarize yourself with their names and specialties before going to the wine dealers.,Be sure to familiarize yourself with their specialties and names before going to the wine dealers.
223,nationalism,sentiment,164,0,Books that are marketed via nationalism and sentiment are not popular anymore.,Books that are marketed via sentiment and nationalism are not popular anymore.
224,neighborliness,politeness,0,,"Because of his neighborliness and politeness, Jack is on good terms with everyone in his community.","Because of his politeness and neighborliness, Jack is on good terms with everyone in his community."
225,nightingales,roses,878,0.3223234624,The traveler in the desert saw a great garden filled with nightingales and roses but he knew it must have been an illusion.,The traveler in the desert saw a great garden filled with roses and nightingales but he knew it must have been an illusion.
226,non-poetry,poetry,0,,Literary works including non-poetry and poetry can be analyzed under the proposed framework.,Literary works including poetry and non-poetry can be analyzed under the proposed framework.
227,onrush,retreat,0,,The wolves' onrush and retreat were studied closely by the zoologists using a hidden camera.,The wolves' retreat and onrush were studied closely by the zoologists using a hidden camera.
228,optimism,practicality,91,1,Christina was trying to find a proper balance between optimism and practicality through meditation every morning.,Christina was trying to find a proper balance between practicality and optimism through meditation every morning.
229,pains,shocks,164,0.4756097561,The therapist led her patients to let go of their pains and shocks over their sessions every month.,The therapist led her patients to let go of their shocks and pains over their sessions every month.
230,painting,sculptures,495,0.7292929293,The theme of conflict in painting and sculptures is one of Maria's areas of interest.,The theme of conflict in sculptures and painting is one of Maria's areas of interest.
231,passage,rhythm,0,,"When the lovers were together, time's passage and rhythm seemed to change drastically.","When the lovers were together, time's rhythm and passage seemed to change drastically."
232,patients,psychiatrists,882,0.3571428571,Good relationships between patients and psychiatrists must be established slowly.,Good relationships between psychiatrists and patients must be established slowly.
233,patronage,subscription,34,1,The editor of the magazine thanked the readers for their patronage and subscription in the last editorial of the year.,The editor of the magazine thanked the readers for their subscription and patronage in the last editorial of the year.
234,peace,rehabilitation,75,1,The two sides both yearning for peace and rehabilitation settled on a cease-fire last week.,The two sides both yearning for rehabilitation and peace settled on a cease-fire last week.
235,pen,telephone,0,,He sat down at the hotel desk with his pen and telephone to resume his work.,He sat down at the hotel desk with his telephone and pen to resume his work.
236,people,soils,0,,Designers need to take both people and soils into consideration when designing gardens for their clients.,Designers need to take both soils and people into consideration when designing gardens for their clients.
237,pills,tonics,449,0.7305122494,"Having dealt with pills and tonics for months, Catherine finally got out of hospital.","Having dealt with tonics and pills for months, Catherine finally got out of hospital."
238,poise,posture,591,0.4247038917,The young lady was admired for her poise and posture by all the young men in the ballroom.,The young lady was admired for her posture and poise by all the young men in the ballroom.
239,powers,traditions,200,0.715,The Presidential office's powers and traditions were firmly upheld during his term as president.,The Presidential office's traditions and powers were firmly upheld during his term as president.
240,preparations,services,91,0.6043956044,Kate moved through all the preparations and services in a state of bewilderment .,Kate moved through all the services and preparations in a state of bewilderment .
241,promoters,salesmen,373,0.5495978552,Mr. Duncan is such a nice person that he even welcomes promoters and salesmen to join him for tea.,Mr. Duncan is such a nice person that he even welcomes salesmen and promoters to join him for tea.
242,reason,sight,630,0.2047619048,The girl was deprived of reason and sight by her rare medical condition.,The girl was deprived of sight and reason by her rare medical condition.
243,reference,withdrawal,0,,Greta's memory has stored for reference and withdrawal the locations of nice restaurants in town.,Greta's memory has stored for withdrawal and reference the locations of nice restaurants in town.
244,retribution,violence,835,0.1053892216,Before resorting to retribution and violence other measures should be taken to resolve the conflict.,Before resorting to violence and retribution other measures should be taken to resolve the conflict.
245,romance,snobbery,0,,Having arrived at an age for romance and snobbery the girls started to behave differently.,Having arrived at an age for snobbery and romance the girls started to behave differently.
246,salt,whiskey,248,0.5524193548,Mark's mother used salt and whiskey to treat itching skin.,Mark's mother used whiskey and salt to treat itching skin.
247,scars,welts,438,0.4269406393,The sight of the boy's body covered in scars and welts made his mother burst out in tears.,The sight of the boy's body covered in welts and scars made his mother burst out in tears.
248,Scots,Swiss,99,0.5656565657,"Surprisingly, the Scots and Swiss in my class spoke Spanish fluently.","Surprisingly, the Swiss and Scots in my class spoke Spanish fluently."
249,screens,shades,336,0.3035714286,The skylights fitted with systems of multiple screens and shades were fitted into the roof.,The skylights fitted with systems of multiple shades and screens were fitted into the roof.
250,seals,wires,0,,All the seals and wires need to be removed first before the gadgets can be fixed.,All the wires and seals need to be removed first before the gadgets can be fixed.
251,self-aggrandisement,self-confidence,0,,The businessman's speech was so full of self-aggrandisement and self-confidence that some of the audience left the room halfway through.,The businessman's speech was so full of self-confidence and self-aggrandisement that some of the audience left the room halfway through.
252,self-indulgence,softness,0,,The president knew very well that self-indulgence and softness was not going to be a successful strategy,The president knew very well that softness and self-indulgence was not going to be a successful strategy
253,sky,wasteland,0,,The photographer positioned the model against the background of sky and wasteland for an ideal picture.,The photographer positioned the model against the background of wasteland and sky for an ideal picture.
254,song,tears,362,0.6104972376,I remember my grandmother's song and tears at my grandfather's funeral.,I remember my grandmother's tears and song at my grandfather's funeral.
255,sparkle,spring,150,0,Henry was still full of sparkle and spring even in his fifties.,Henry was still full of spring and sparkle even in his fifties.
256,sprains,swellings,191,0.5392670157,It is said that for sprains and swellings one pint of cider vinegar added to three beaten eggs can give speedy relief.,It is said that for swellings and sprains one pint of cider vinegar added to three beaten eggs can give speedy relief.
257,stalls,urinals,133,0.6090225564,By counting the number of stalls and urinals I attempted to form a loose estimate of how many men the hall would hold at one time.,By counting the number of urinals and stalls I attempted to form a loose estimate of how many men the hall would hold at one time.
258,starvation,tuberculosis,117,0.6495726496,Mrs. Hull died of starvation and tuberculosis before receiving a visit from her son.,Mrs. Hull died of tuberculosis and starvation before receiving a visit from her son.
259,starvation,suicide,202,1,People are dying of starvation and suicide in many parts of the world.,People are dying of suicide and starvation in many parts of the world.
260,sushi,tea,0,,Kate prepared sushi and tea for each of her visitors.,Kate prepared tea and sushi for each of her visitors.
261,suspense,worry,334,0.3832335329,Once Bill had quieted all the suspense and worry the situation didn't seem that bad after all.,Once Bill had quieted all the worry and suspense the situation didn't seem that bad after all.
262,temperature,wind-velocity,0,,Edward checked the temperature and wind-velocity before setting out to the field.,Edward checked the wind-velocity and temperature before setting out to the field.
263,tension,terror,918,0.6699346405,The news caused tension and terror as soon as the latest report came out.,The news caused terror and tension as soon as the latest report came out.
264,unhappiness,women,0,,Men who believe that unhappiness and women go together always mess up their dates.,Men who believe that women and unhappiness go together always mess up their dates.
265,usefulness,viability,412,0.3373786408,"For the first time in the country's history, the usefulness and viability of nationalism came into question.","For the first time in the country's history, the viability and usefulness of nationalism came into question."
266,vitality,will,999,0.7777777778,Terror had sapped some of Anne's vitality and will so she was left frozen in the moment.,Terror had sapped some of Anne's will and vitality so she was left frozen in the moment.
267,aunts,uncles,114866,0.6316229345,The family reunion had all the aunts and uncles together in one room.,The family reunion had all the uncles and aunts together in one room.
268,back,shoulders,63372,0.6295367039,Anthony got his back and shoulders adjusted by the chiropractor.,Anthony got his shoulders and back adjusted by the chiropractor.
269,bacon,eggs,86914,0.6438318338,"On the days Lilly doesn't have work, she makes bacon and eggs for breakfast and reads the paper.","On the days Lilly doesn't have work, she makes eggs and bacon for breakfast and reads the paper."
270,bar,grill,40757,0.9625831146,We went to a bar and grill in the city last night.,We went to a grill and bar in the city last night.
271,barley,oats,27431,0.4298056943,Susanne prepared barley and oats for breakfast everyday for a week.,Susanne prepared oats and barley for breakfast everyday for a week.
272,barrels,boxes,12973,0.3705388114,There were a lot of barrels and boxes that needed to be moved before the event could start.,There were a lot of boxes and barrels that needed to be moved before the event could start.
273,beauty,dignity,25267,0.5212728064,The girl had both beauty and dignity but was lacking intelligence.,The girl had both dignity and beauty but was lacking intelligence.
274,beauty,truth,77484,0.3256930463,I decided that beauty and truth would be the major themes of the poem I was writing.,I decided that truth and beauty would be the major themes of the poem I was writing.
275,beauty,youth,65503,0.1011556723,The serum promised beauty and youth to everyone who used it.,The serum promised youth and beauty to everyone who used it.
276,being,existence,12923,0.5259614641,The girl questioned her being and existence when she went to her last therapy session.,The girl questioned her existence and being when she went to her last therapy session.
277,belly,chest,14929,0.2288833813,"Zack said his belly and chest were hurting, so his mom took him to the hospital.","Zack said his chest and belly were hurting, so his mom took him to the hospital."
278,black,white,2268565,0.8322018545,Dalmatians found in colors other than black and white are highly unusual.,Dalmatians found in colors other than white and black are highly unusual.
279,blood,flesh,556220,0.02639603035,Although Rhonda was not Nick's blood and flesh he considered her part of his family.,Although Rhonda was not Nick's flesh and blood he considered her part of his family.
280,blood,guts,19009,0.9607554316,The film showed blood and guts which made them very uncomfortable.,The film showed guts and blood which made them very uncomfortable.
281,boats,ships,24996,0.3792606817,The pier was full of boats and ships ready to take off on an adventure.,The pier was full of ships and boats ready to take off on an adventure.
282,bodies,faces,26522,0.2394992836,Grant wrote a poem about how everyone's bodies and faces are beautiful and unique.,Grant wrote a poem about how everyone's faces and bodies are beautiful and unique.
283,body,face,97417,0.1736247267,"After visiting many stores, Ann finally found a body and face sunscreen that worked well for her skin.","After visiting many stores, Ann finally found a face and body sunscreen that worked well for her skin."
284,body,head,172950,0.1511419485,"When drawing people, Suzanne struggles with sketching the body and head because she can never get the proportions right.","When drawing people, Suzanne struggles with sketching the head and body because she can never get the proportions right."
285,body,mind,820530,0.4173046689,She talked about the importance of keeping your body and mind super healthy and strong.,She talked about the importance of keeping your mind and body super healthy and strong.
286,bone,flesh,72784,0.2187980875,"After a hard fall, you could see the bone and flesh of the basketball player's leg.","After a hard fall, you could see the flesh and bone of the basketball player's leg."
287,bone,muscle,59672,0.5633462931,The doctor studied the bone and muscle of the patient's injured leg.,The doctor studied the muscle and bone of the patient's injured leg.
288,bones,skulls,19232,0.3933548253,Scientists study the bones and skulls of long-extinct animal species.,Scientists study the skulls and bones of long-extinct animal species.
289,boots,shoes,81005,0.837170545,My suitcase was full of boots and shoes which made it exceed the weight limit.,My suitcase was full of shoes and boots which made it exceed the weight limit.
290,boys,girls,1835429,0.8825195635,The teacher separated the boys and girls into two groups.,The teacher separated the girls and boys into two groups.
291,boys,men,263583,0.2523910874,There were a lot of boys and men at the park today.,There were a lot of men and boys at the park today.
292,bread,butter,261886,0.98716999,Brent likes to eat bread and butter for breakfast when he doesn't have a lot of time in the morning.,Brent likes to eat butter and bread for breakfast when he doesn't have a lot of time in the morning.
293,bread,cheese,105642,0.8957800875,Xavier brought bread and cheese to the potluck at the beach.,Xavier brought cheese and bread to the potluck at the beach.
294,breakfast,dinner,53396,0.9091504982,Molly decided that breakfast and dinner are her favorite meals of the day.,Molly decided that dinner and breakfast are her favorite meals of the day.
295,bride,groom,204540,0.9693702943,I think that the bride and groom are very excited about the upcoming wedding.,I think that the groom and bride are very excited about the upcoming wedding.
296,brother,mother,57486,0.1291270918,Last week my brother and mother came to visit me in my new apartment.,Last week my mother and brother came to visit me in my new apartment.
297,brother,sister,492450,0.8382719058,Paul wants to spend time with his brother and sister because he doesn't get to see them very often.,Paul wants to spend time with his sister and brother because he doesn't get to see them very often.
298,brothers,sisters,1102312,0.9142402514,When we were younger my brothers and sisters wanted a Beagle puppy.,When we were younger my sisters and brothers wanted a Beagle puppy.
299,brush,trees,35404,0.3333239182,Amanda loved all the brush and trees that surrounded her house.,Amanda loved all the trees and brush that surrounded her house.
300,Burma,India,,,They talked about visiting Burma and India for their upcoming honeymoon.,They talked about visiting India and Burma for their upcoming honeymoon.
301,cakes,pies,22636,0.5034016611,Hannah had a real sweet tooth for cakes and pies so she took up baking as a hobby.,Hannah had a real sweet tooth for pies and cakes so she took up baking as a hobby.
302,cattle,horses,164491,0.494671441,"On the ranch, there are cattle and horses roaming around the green pastures.","On the ranch, there are horses and cattle roaming around the green pastures."
303,cause,consequence,11492,0.9420466411,Finn didn't want to think about the cause and consequence of him losing his job.,Finn didn't want to think about the consequence and cause of him losing his job.
304,cause,effect,679208,0.9893920566,"Ryan was uncertain about the cause and effect of inflation, so he did some research about it online.","Ryan was uncertain about the effect and cause of inflation, so he did some research about it online."
305,ceiling,walls,90509,0.1970743241,The painter finished painting the ceiling and walls of all of the bedrooms.,The painter finished painting the walls and ceiling of all of the bedrooms.
306,cents,dollars,127135,0.003059739647,The boy brought his cents and dollars to the store to buy an ice cream cone.,The boy brought his dollars and cents to the store to buy an ice cream cone.
307,chair,table,34607,0.3391799347,They noticed that the chair and table were knocked over after the earthquake.,They noticed that the table and chair were knocked over after the earthquake.
308,chairs,sofas,35053,0.5607223348,The hoarder had many chairs and sofas in their living room.,The hoarder had many sofas and chairs in their living room.
309,chairs,table,56411,0.1057240609,The event planner fixed the chairs and table to accommodate all of the wedding guests.,The event planner fixed the table and chairs to accommodate all of the wedding guests.
310,characters,situations,32957,0.8178839093,Cheryl considered the characters and situations in the novel she was writing.,Cheryl considered the situations and characters in the novel she was writing.
311,charts,maps,51057,0.2401237832,Dr. Morganstern took out his charts and maps in order to document where he found the last fossil.,Dr. Morganstern took out his maps and charts in order to document where he found the last fossil.
312,chest,stomach,25203,0.7111851764,Tom felt pain in both his chest and stomach so he decided to stay home from school.,Tom felt pain in both his stomach and chest so he decided to stay home from school.
313,child,husband,20834,0.09911682826,Rachel lived with her child and husband in a small apartment in New York City.,Rachel lived with her husband and child in a small apartment in New York City.
314,child,wife,166893,0.02212795024,Bill wanted to take his child and wife on a tropical vacation.,Bill wanted to take his wife and child on a tropical vacation.
315,childhood,infancy,103215,0.01835973453,The students watched a video on childhood and infancy in their human development class.,The students watched a video on infancy and childhood in their human development class.
316,choice,decision,11325,0.7605298013,It was her choice and decision to stay home for the summer instead of traveling through South America.,It was her decision and choice to stay home for the summer instead of traveling through South America.
317,Christmas,Easter,,,The child decided that Christmas and Easter were her favorite holidays.,The child decided that Easter and Christmas were her favorite holidays.
318,church,community,39253,0.8295416911,Tim has said that his church and community are very important to him.,Tim has said that his community and church are very important to him.
319,city,country,106397,0.7849751403,Her love for her city and country made her want to get into politics.,Her love for her country and city made her want to get into politics.
320,city,county,315000,0.821015873,The meeting had representatives from both the city and county to discuss policy changes.,The meeting had representatives from both the county and city to discuss policy changes.
321,city,state,184793,0.6482767204,He liked his city and state too much to move away.,He liked his state and city too much to move away.
322,clarity,precision,28178,0.7098090709,Devin tried to achieve clarity and precision in everything he did.,Devin tried to achieve precision and clarity in everything he did.
323,classmates,friends,13278,0.3248230155,We have been classmates and friends all the way from kindergarten to college.,We have been friends and classmates all the way from kindergarten to college.
324,closets,drawers,10283,0.4827385004,Ben needed a lot of closets and drawers to store all of his clothes.,Ben needed a lot of drawers and closets to store all of his clothes.
325,coat,hat,132073,0.4387119245,"Once she stepped through the door, she designated a spot for her coat and hat to be safely put away.","Once she stepped through the door, she designated a spot for her hat and coat to be safely put away."
326,coffee,sandwiches,19962,0.5174832181,The company had coffee and sandwiches catered for their employees.,The company had sandwiches and coffee catered for their employees.
327,coffee,toast,19739,0.4575206444,Every morning Karen has coffee and toast for breakfast before school.,Every morning Karen has toast and coffee for breakfast before school.
328,college,school,301287,0.02764473741,Matt said that college and school are not worth his time.,Matt said that school and college are not worth his time.
329,college,university,296202,0.891962242,Carlos talked about college and university with his school counselor.,Carlos talked about university and college with his school counselor.
330,color,light,83699,0.3201710893,Rob used a lot of color and light to make his photographs pop.,Rob used a lot of light and color to make his photographs pop.
331,color,texture,90359,0.7614736772,Sarah was known for the color and texture she used in her paintings.,Sarah was known for the texture and color she used in her paintings.
332,colors,forms,31064,0.3418426474,They read a whole chapter on colors and forms in her art class.,They read a whole chapter on forms and colors in her art class.
333,comfort,ease,52544,0.287911084,"Her parents liked the comfort and ease of flying, so they flew to their friend's wedding.","Her parents liked the ease and comfort of flying, so they flew to their friend's wedding."
334,comings,goings,141234,0.9128609258,The school newspaper reported on the comings and goings of the student body.,The school newspaper reported on the goings and comings of the student body.
335,command,control,170958,0.9739175704,The eldest sibling wanted to command and control all of their younger siblings.,The eldest sibling wanted to control and command all of their younger siblings.
336,Concord,Lexington,,,He used to live in both Concord and Lexington when he was a teenager.,He used to live in both Lexington and Concord when he was a teenager.
337,concrete,steel,83832,0.4510330184,The company got a new shipment of concrete and steel for an upcoming project.,The company got a new shipment of steel and concrete for an upcoming project.
338,confusion,fear,27042,0.3863619555,They felt confusion and fear about what they would do after graduating.,They felt fear and confusion about what they would do after graduating.
339,confusion,turmoil,11154,0.3482158867,Hannah felt confusion and turmoil after her mom gave her some unfortunate news.,Hannah felt turmoil and confusion after her mom gave her some unfortunate news.
340,conscience,religion,15154,0.7004091329,Bree is reading a book about the relationship between conscience and religion in her book club.,Bree is reading a book about the relationship between religion and conscience in her book club.
341,contemporary,friend,13050,0.5211494253,I learned that my professor was a contemporary and friend of a famous poet.,I learned that my professor was a friend and contemporary of a famous poet.
342,corruption,crime,16627,0.1909544716,All of the corruption and crime in the city made Tony want to move.,All of the crime and corruption in the city made Tony want to move.
343,costumes,masks,12920,0.4411764706,Tammy had to buy costumes and masks for all of the Halloween parties she was going to attend.,Tammy had to buy masks and costumes for all of the Halloween parties she was going to attend.
344,cotton,tobacco,40004,0.7100039996,The company has sold cotton and tobacco for almost twenty years.,The company has sold tobacco and cotton for almost twenty years.
345,council,governor,100783,0.01141065457,She wanted to meet with both the council and governor to discuss some ideas she had.,She wanted to meet with both the governor and council to discuss some ideas she had.
346,counties,towns,26566,0.4343898216,Fred drove through many counties and towns to move to his new house.,Fred drove through many towns and counties to move to his new house.
347,courage,hope,37808,0.4317340245,It took courage and hope to overcome what she had been through.,It took hope and courage to overcome what she had been through.
348,cousins,uncles,21181,0.1845049809,Olivia said her cousins and uncles are her favorite family members.,Olivia said her uncles and cousins are her favorite family members.
349,crannies,nooks,46060,0.002648719062,He made sure to dust all of the crannies and nooks throughout the old house.,He made sure to dust all of the nooks and crannies throughout the old house.
350,cream,peaches,13614,0.01939180256,We had cream and peaches for dessert at the diner down the street.,We had peaches and cream for dessert at the diner down the street.
351,crime,poverty,21270,0.3729196051,The study on the link between crime and poverty was published in the local newspaper.,The study on the link between poverty and crime was published in the local newspaper.
352,crime,punishment,131945,0.9885937322,The jury needed to consider the crime and punishment before coming to a final decision.,The jury needed to consider the punishment and crime before coming to a final decision.
353,crime,violence,63327,0.7296098031,The frequent crime and violence in the neighborhood had people worried.,The frequent violence and crime in the neighborhood had people worried.
354,crops,livestock,41356,0.8806702776,All of the crops and livestock needed a lot of water to survive.,All of the livestock and crops needed a lot of water to survive.
355,cysts,tumors,11633,0.4969483366,Paul had an appointment with his doctor to check for any cysts and tumors that he might have.,Paul had an appointment with his doctor to check for any tumors and cysts that he might have.
356,dairy,poultry,13945,0.6899964145,You will often find dairy and poultry close to each other in the refrigerated aisle of the grocery store.,You will often find poultry and dairy close to each other in the refrigerated aisle of the grocery store.
357,dark,light,292691,0.2445377548,Johanna thought the contrast between dark and light colors in the painting made it interesting to look at.,Johanna thought the contrast between light and dark colors in the painting made it interesting to look at.
358,dates,events,15058,0.7338291938,Katrina had many dates and events to attend because she was very popular.,Katrina had many events and dates to attend because she was very popular.
359,daughter,son,190092,0.2435031458,"With the holidays approaching, the daughter and son needed to shop for presents for their parents.","With the holidays approaching, the son and daughter needed to shop for presents for their parents."
360,day,night,1876827,0.6975288612,It is harder to tell the difference between day and night if you can't see.,It is harder to tell the difference between night and day if you can't see.
361,days,nights,445957,0.9144469086,Finn spent many days and nights working on writing his novel.,Finn spent many nights and days working on writing his novel.
362,days,years,31764,0.8792973177,It had been days and years since Molly had seen her cousins.,It had been years and days since Molly had seen her cousins.
363,death,life,1142991,0.0619278717,It is hard to tell the difference between death and life when you are in purgatory.,It is hard to tell the difference between life and death when you are in purgatory.
364,debate,discussion,59247,0.3081843806,"During class, there was debate and discussion surrounding the controversial current event.","During class, there was discussion and debate surrounding the controversial current event."
365,democracy,liberty,29095,0.3831586183,Jade's brother talked about democracy and liberty while they ate dinner on the fourth of July.,Jade's brother talked about liberty and democracy while they ate dinner on the fourth of July.
366,despair,rage,17146,0.173276566,Annie felt a lot of despair and rage so she wanted to talk with a therapist.,Annie felt a lot of rage and despair so she wanted to talk with a therapist.
367,development,research,1380352,0.01925016228,"The scientist had a lot of development and research to do, because he had been sick for a long time.","The scientist had a lot of research and development to do, because he had been sick for a long time."
368,diagnosis,treatment,448278,0.9913000415,Marissa found that her diagnosis and treatment at the hospital were completely different from what she anticipated.,Marissa found that her treatment and diagnosis at the hospital were completely different from what she anticipated.
369,diamonds,rubies,18750,0.60896,The pirates followed the treasure map to find that diamonds and rubies were hidden in the treasure chest.,The pirates followed the treasure map to find that rubies and diamonds were hidden in the treasure chest.
370,dirt,sweat,11621,0.4766371225,Mike needed to wash the dirt and sweat out of his soccer uniform.,Mike needed to wash the sweat and dirt out of his soccer uniform.
371,discussion,thought,24358,0.0763198949,A lot of discussion and thought went into making the decision to buy this house.,A lot of thought and discussion went into making the decision to buy this house.
372,distress,pain,24052,0.1803592217,The couple's divorce caused a lot of distress and pain for the whole family.,The couple's divorce caused a lot of pain and distress for the whole family.
373,dogs,men,24614,0.348622735,Her grandma joked that dogs and men had a lot in common.,Her grandma joked that men and dogs had a lot in common.
374,doorways,windows,14085,0.4975505857,Bill wanted to fix the doorways and windows before moving into the new home.,Bill wanted to fix the windows and doorways before moving into the new home.
375,doubts,fears,71893,0.7722865926,"She wanted to be a pop star, but her doubts and fears got in the way of her dream.","She wanted to be a pop star, but her fears and doubts got in the way of her dream."
376,dreams,plans,11614,0.4828655071,She had dreams and plans to become a successful scientist.,She had plans and dreams to become a successful scientist.
377,ears,eyes,304481,0.1289834177,"Cleo said that her ears and eyes were bothering her, so she stayed home from work.","Cleo said that her eyes and ears were bothering her, so she stayed home from work."
378,earth,sky,131176,0.7843507959,Talking about the earth and sky was one of Randy's favorite things to do.,Talking about the sky and earth was one of Randy's favorite things to do.
379,editing,publishing,11644,0.8752147029,The company did the editing and publishing for many well-known books.,The company did the publishing and editing for many well-known books.
380,editor,publisher,125503,0.8418683219,"In order to finalize all the details, the editor and publisher wanted to have a meeting with the author of the book.","In order to finalize all the details, the publisher and editor wanted to have a meeting with the author of the book."
381,education,skill,10876,0.7269216624,They had the education and skill to be a great professor.,They had the skill and education to be a great professor.
382,effort,resources,12297,0.7416443035,It would take a lot of effort and resources to put on this fundraiser.,It would take a lot of resources and effort to put on this fundraiser.
383,eggs,ham,59981,0.1829079208,All she wanted to eat was eggs and ham but she didn't have either item in her refrigerator.,All she wanted to eat was ham and eggs but she didn't have either item in her refrigerator.
384,elbows,knees,48397,0.4986879352,I hurt my elbows and knees when I fell off my longboard.,I hurt my knees and elbows when I fell off my longboard.
